State,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Central,Matale,2020,1.0,0.0,2.0,0.0,0.0,0.0,21.0,46.0,0.0,0.0,16.0,0.0,3.0,0.0,54.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.25569248129131206
Central,Matale,2021,1.0,1.0,4.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,26.0,0.0,2.0,0.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23194597675490208
Central,Matale,2022,1.0,1.0,8.0,0.0,0.0,0.0,9.0,45.0,0.0,0.0,16.0,0.0,0.0,0.0,27.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23950638643034872
Central,Matale,2023,,,2.0,,,2.0,11.0,38.0,,,20.0,3.0,2.0,1.0,44.0,47.0,1.0,,,,1.0,,,0.575782369050566
Central,Matale,2024,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,0.0,0.0,7.0,1.0,1.0,1.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580699631719212
Southern,Matara,2020,1.0,0.0,0.0,2.0,1.0,0.0,36.0,57.0,0.0,0.0,19.0,1.0,2.0,0.0,38.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.3039003437375988
Southern,Matara,2021,1.0,1.0,0.0,0.0,2.0,2.0,23.0,72.0,0.0,0.0,17.0,3.0,3.0,0.0,42.0,11.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.3316719391841128
Southern,Matara,2022,2.0,1.0,6.0,1.0,0.0,2.0,30.0,68.0,1.0,0.0,27.0,3.0,1.0,0.0,52.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.4089796586899727
Southern,Matara,2023,2.0,,5.0,,2.0,3.0,26.0,80.0,2.0,,28.0,1.0,6.0,,80.0,47.0,,,,,13.0,,,0.7328411548373583
Southern,Matara,2024,0.0,0.0,7.0,0.0,0.0,4.0,20.0,37.0,0.0,0.0,13.0,2.0,2.0,0.0,42.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.3005901681338519
Uva,Moneragala,2020,0.0,0.0,3.0,1.0,0.0,0.0,27.0,53.0,0.0,1.0,21.0,6.0,1.0,0.0,28.0,23.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.30504917880999755
Uva,Moneragala,2021,0.0,0.0,0.0,0.0,0.0,1.0,22.0,28.0,0.0,0.0,16.0,1.0,5.0,0.0,28.0,8.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.25119790880319776
